Path/Name,Phrase
ascii/32,Leerzeichen
ascii/35,Raute
ascii/42,Stern
ascii/46,Punkt
ascii/45,Bindestrich
ascii/33,Ausrufezeichen
ascii/64,Ät
ascii/36,Dollar-Zeichen
ascii/37,Prozent-Zeichen
ascii/38,Kaufmännisches Und-Zeichen
ascii/34,Doppelte Anführungszeichen
ascii/39,Einfache Anführungszeichen
ascii/47,Schrägstrich
ascii/95,Unterstrich
ascii/92,Backslash
ascii/126,Tilde
ascii/61,Gleichheitszeichen
ascii/58,Doppelpunkt
ascii/59,Strichpunkt
ascii/94,Zirkumflex
ascii/124,senkrechter Strich
ascii/43,Plus
ascii/40,linke Klammer
ascii/41,rechte Klammer
ascii/123,linke geschweifte Klammer
ascii/125,rechte geschweifte Klammer
ascii/91,linke eckige Klammer
ascii/93,rechte eckige Klammer
ascii/44,Komma
ascii/96,Gravis-Zeichen
ascii/60,kleiner als Zeichen
ascii/62,größer als Zeichen
ascii/97,A
ascii/98,B
ascii/99,C
ascii/100,D
ascii/101,E
ascii/102,F
ascii/103,G
ascii/104,H
ascii/105,I
ascii/106,J
ascii/107,K
ascii/108,L
ascii/109,M
ascii/110,N
ascii/111,O
ascii/112,P
ascii/113,Q
ascii/114,R
ascii/115,S
ascii/116,T
ascii/117,U
ascii/118,V
ascii/119,W
ascii/120,X
ascii/121,Y
ascii/122,Z
phonetic-ascii/32,Leerzeichen
phonetic-ascii/46,Punkt
phonetic-ascii/97,Anton
phonetic-ascii/98,Berta
phonetic-ascii/99,Cäsar
phonetic-ascii/100,Dora
phonetic-ascii/101,Emil
phonetic-ascii/102,Friedrich
phonetic-ascii/103,Gustav
phonetic-ascii/104,Heinrich
phonetic-ascii/105,Ida
phonetic-ascii/106,Julius
phonetic-ascii/107,Kaufmann
phonetic-ascii/108,Ludwig
phonetic-ascii/109,Martha
phonetic-ascii/110,Nordpol
phonetic-ascii/111,Otto
phonetic-ascii/112,Paule
phonetic-ascii/113,Quelle
phonetic-ascii/114,Richard
phonetic-ascii/115,Samuel
phonetic-ascii/116,Theodor
phonetic-ascii/117,Ulrich
phonetic-ascii/118,Viktor
phonetic-ascii/119,Wilhelm
phonetic-ascii/120,Xanthippe
phonetic-ascii/121,Ypsilon
phonetic-ascii/122,Zacharias
phonetic-ascii/42,Stern
phonetic-ascii/35,Raute
digits/0,Null
digits/1,Eins
digits/2,Zwei
digits/3,Drei
digits/4,Vier
digits/5,Fünf
digits/6,Sechs
digits/7,Sieben
digits/8,Acht
digits/9,Neun
digits/10,Zehn
digits/11,Elf
digits/12,Zwölf
digits/13,Dreizehn
digits/14,Vierzehn
digits/15,Fünfzehn
digits/16,Sechzehn
digits/17,Siebzehn
digits/18,Achtzehn
digits/19,Neunzehn
digits/20,Zwanzig
digits/30,Dreissig
digits/40,Vierzig
digits/50,Fünfzig
digits/60,Sechzig
digits/70,Siebzig
digits/80,Achtzig
digits/90,Neunzig
digits/dot,Punkt
digits/h-1,Erste
digits/h-2,Zweite
digits/h-3,Dritte
digits/h-4,Vierte
digits/h-5,Fünfte
digits/h-6,Sechste
digits/h-7,Siebte
digits/h-8,Achte
digits/h-9,Neunte
digits/h-10,Zehnte
digits/h-11,Elfte
digits/h-12,Zwölfte
digits/h-13,Dreizehnte
digits/h-14,Vierzehnte
digits/h-15,Fünfzehnte
digits/h-16,Sechzehnte
digits/h-17,Siebzehnte
digits/h-18,Achtzehnte
digits/h-19,Neunzehnte
digits/h-20,Zwanzigste
digits/h-30,Dreissigste
digits/hundred,Hundert
digits/thousand,Tausend
digits/million,Millionen
digits/period,Komma
digits/point,Punkt
digits/pound,Raute
digits/star,Stern
currency/and,Und
currency/cent,Cent
currency/central,Zentrale
currency/cents-per-minute,Cent pro Minute
currency/cents,Cent
currency/dollar,Euro
currency/dollars,Euro
currency/minus,Minus
currency/negative,Minus
time/a-m,vormittags
time/at,um
time/day-0,Sonntag
time/day-1,Montag
time/day-2,Dienstag
time/day-3,Mittwoch
time/day-4,Donnerstag
time/day-5,Freitag
time/day-6,Samstag
time/hour,Stunde
time/hours,Stunden
time/minute,Minute
time/minutes,Minuten
time/second,Sekunde
time/seconds,Sekunden
time/mon-0,Januar
time/mon-1,Febuar
time/mon-2,März
time/mon-3,April
time/mon-4,Mai
time/mon-5,Juni
time/mon-6,Juli
time/mon-7,August
time/mon-8,September
time/mon-9,Oktober
time/mon-10,November
time/mon-11,Dezember
time/oclock,Uhr
time/oh,oh
time/p-m,nachmittags
time/today,Heute
time/tomorrow,Morgen
time/yesterday,Gestern
voicemail/vm-person,Die Person unter der Durchwahl
voicemail/vm-marked-urgent,als dringend markiert
voicemail/vm-marked_new,als neu markiert
voicemail/vm-emailed,per E-Mail verschickt
voicemail/vm-you_have,Sie haben
voicemail/vm-from,Nachricht von
voicemail/vm-enter_id,"Bitte geben Sie Ihren Benutzernamen ein, gefolgt von"
voicemail/vm-enter_pass,"Bitte geben Sie Ihr Passwort ein, gefolgt von"
voicemail/vm-fail_auth,Benutzerdaten falsch
voicemail/vm-hello,Willkommen in Ihrem Postfach
voicemail/vm-goodbye,Auf Wiedersehen
voicemail/vm-record_name1,"Sagen Sie Ihren Namen nach dem Ton, drücken Sie eine beliebige Taste oder hören Sie auf zu sprechen um die Aufnahme zu beenden."
voicemail/vm-choose_greeting_choose,Wählen Sie eine Ansage zwischen 1 und 9
voicemail/vm-choose_greeting_fail,Ungültige Eingabe
voicemail/vm-abort,Zu viele Fehlversuche
voicemail/vm-change_password,Um Ihr Passwort zu ändern
voicemail/vm-record_greeting,Sprechen Sie Ihre Ansage nach dem Ton. Drücken Sie eine beliebige Taste oder hören Sie auf zu sprechen um die Aufnahme zu beenden.
voicemail/vm-record_message,Sprechen Sie Ihre Nachricht nach dem Ton. Drücken Sie eine beliebige Taste oder hören Sie auf zu sprechen um die Aufnahme zu beenden.
voicemail/vm-play_greeting,ist nicht verfügbar
voicemail/vm-urgent-new,"dringend, neu"
voicemail/vm-new,neu
voicemail/vm-urgent-saved,"dringend, gespeichert"
voicemail/vm-saved,gespeichert
voicemail/vm-message,Nachricht
voicemail/vm-message_alt,Nachricht
voicemail/vm-messages,Nachrichten
voicemail/vm-messages_alt,Nachrichten
voicemail/vm-no_more_messages,keine weiteren Nachrichten
voicemail/vm-repeat_message,um diese Nachricht zu wiederholen
voicemail/vm-delete_message,um diese Nachricht zu löschen
voicemail/vm-save_message,um diese Nachricht zu speichern
voicemail/vm-play_next_message,um die nächste Nachricht abzuspielen
voicemail/vm-play_previous_message,um die letzte Nachricht abzuspielen
voicemail/vm-undelete_message,um das Löschen dieser Nachricht rückgängig zu machen
voicemail/vm-send_message_now,um diese Nachricht jetzt zu senden
voicemail/vm-message_envelope,um den Umschlag der Nachricht zu hören
voicemail/vm-has_been_changed_to,wurde geändert in
voicemail/vm-press,drücken Sie
voicemail/vm-received,empfangene
voicemail/vm-followed_by,gefolgt von
voicemail/vm-that_was_an_invalid_ext,Das war eine ungültige Durchwahl.
voicemail/vm-undeleted,Löschen rückgängig gemacht.
voicemail/vm-followed_by_pound,gefolgt von der Raute Taste.
voicemail/vm-next,nächste
voicemail/vm-listen_new,zum anhören neuer Nachrichten
voicemail/vm-listen_saved,zum anhören gespeicherter Nachrichten
voicemail/vm-advanced,für erweiterte Optionen
voicemail/vm-advanced_alt,für erweiterte Optionen
voicemail/vm-to_exit,zum verlassen
voicemail/vm-to_exit_alt,zum verlassen
voicemail/vm-to_record_greeting,zum aufnehmen einer Ansage
voicemail/vm-choose_greeting,zum auswählen einer Ansage
voicemail/vm-record_name2,zum aufnehmen Ihres Namens
voicemail/vm-main_menu,für das Hauptmenü
voicemail/vm-listen_to_recording,zum anhören dieser Nachricht
voicemail/vm-save_recording,zum speichern der Nachricht
voicemail/vm-rerecord,zum erneuten Aufnehmen
voicemail/vm-mark-urgent,um diese Nachricht als dringend zu markieren
voicemail/vm-mark_message_new,um diese Nachricht als neu zu markieren
voicemail/vm-continue,zum Fortfahren
voicemail/vm-listen_to_recording_again,zum erneuten anhören dieser Nachricht
voicemail/vm-delete_recording,zum löschen dieser Nachricht
voicemail/vm-forward_to_email,um diese Nachricht an Ihre E-Mail-Adresse weiterzuleiten
voicemail/vm-to_forward,um diese Nachricht an ein anderes Postfach weiterzuleiten
voicemail/vm-forward_enter_ext,"Bitte geben Die die Durchwahl an, an die diese Nachricht weitergeleitet werden soll"
voicemail/vm-forward_add_intro,Um eine Einleitung zu dieser Nachricht hinzuzufügen
voicemail/vm-greeting,Ansage
voicemail/vm-selected,ausgewählt
voicemail/vm-not_available,ist nicht verfügbar
voicemail/vm-message_number,Nachricht nummer
voicemail/vm-deleted,gelöscht
voicemail/vm-too-small,Ihre Aufnahme ist kürzer als die erlaubte Mindestlänge. Bitte versuchen Sie es erneut.
voicemail/vm-in_folder,im Posteingang
voicemail/vm-return_call,um jetzt zurückzurufen
voicemail/vm-urgent,dringend
voicemail/vm-mailbox_full,Dieses Postfach ist voll. Bitte versuchen Sie es später erneut.
voicemail/vm-tutorial_yes_no,"Willkommen in Ihrem neuen Sprach-Postfach. Für eine Erklärung und um Ihr Postfach einzurichten, drücken Sie bitte 1, zum Überspringen 2."
voicemail/vm-tutorial_record_name,Bitte sprechen Sie Ihren Vor- und Nachnamen. Diese Aufnahme wird in der Telefonanlage auch für das Verzeichnis der Nebenstellen verwendet.
voicemail/vm-tutorial_change_pin,"Ihr persönlicher Zugangs-Code, auch PIN genannt, wird verwendet, damit andere nicht auf Ihr Sprach-Postfach zugreifen können. Wollen Sie die PIN jetzt ändern?"
voicemail/vm-not_available_no_voicemail,"Die Person, die Sie erreichen wollen, ist im Moment nicht verfügbar und hat kein Sprach-Postfach."
voicemail/vm-pin_below_minimum_length,Die von Ihnen eingegebene PIN ist kürzer als die erlaubte Mindestlänge.
voicemail/vm-minimum_pin_length_is,Die minimale PIN-Länge ist
voicemail/vm-password_has_been_changed,Ihr Passwort wurde geändert.
voicemail/vm-enter_new_pin,"Bitte geben Sie Ihr neues Passwort ein, gefolgt von der Raute Taste. "
voicemail/vm-password_not_valid,Das von Ihnen eingegebene Passwort ist in diesem System nicht gültig.
voicemail/vm-password_is_not_secure,Ein Passwort wie zum Beispiel 1 1 1 1 oder 1 2 3 4 ist nicht sicher.
voicemail/vm-choose_password,"Bitte geben wählen Sie ein Passwort aus, das nicht nur aus gleichen oder aufeinanderfolgenden Ziffern besteht."
voicemail/vm-voicemail_password_is_web_password,"Bitte denken Sie daran, dass das Passwort für Ihr Sprach-Postfach auf für das Web Interface genutzt wird."
voicemail/vm-message_from,Nachricht von
voicemail/vm-nobody_leaving_message,Niemand hinterlässt derzeit eine Nachricht in diesem Postfach.
voicemail/vm-last,letzte
voicemail/vm-delete_greeting,Um die Ansage zu löschen
voicemail/vm-listen_to_greeting,Um die Ansage anzuhören
voicemail/vm-main_menu_alt,Für das Hauptmenü
voicemail/vm-message_forwarded,Nachricht weitergeleitet
voicemail/vm-no_answer_no_vm,Der von Ihnen angerufene Teilnehmer antwortet nicht und hat auch keinen Anrufbeantworter.
directory/dir-enter_person,Bitte geben Sie ein die ersten paar Buchstaben des
directory/dir-last_name,Nachnamen
directory/dir-to_search_by,Zur Suche nach
directory/dir-first_name,Vornamen
directory/dir-no_matching_results,Es gab keine übereinstimmenden Ergebnisse.
directory/dir-result_match,Ergebnisse stimmen mit Ihrer Suche überein.
directory/dir-too_many_result,Ihre Suche ergab zu viele Ergebnisse.
directory/dir-no_more_results,Keine weiteren Ergebnisse.
directory/dir-result_number,Ergebnis Nummer
directory/dir-at_extension,mit der Durchwahl
directory/dir-to_select_entry,Um diesen Eintrag auszuwählen
directory/dir-for_next,Für den nächsten Eintrag
