Path/Name,Phrase
ascii/32,Spatie
ascii/35,Hekje
ascii/42,Ster
ascii/46,Punt
ascii/45,Koppelteken
ascii/33,Uitroepteken
ascii/64,Apenstaartje
ascii/36,Dollarteken
ascii/37,Procent
ascii/38,En-teken
ascii/34,Dubbele aanhalingstekens
ascii/39,Apostrof
ascii/47,Schuine streep
ascii/95,Onderstrepingsteken
ascii/92,Backslash
ascii/126,Tilde
ascii/61,Is-gelijk-teken
ascii/58,Dubbele punt
ascii/59,Puntkomma
ascii/94,Dakje
ascii/124,Verticale streep
ascii/43,Plus
ascii/40,Haakje openen
ascii/41,Haakje sluiten
ascii/123,Accolade openen
ascii/125,Accolade sluiten
ascii/91,Vierkant haakje openen
ascii/93,Vierkant haakje sluiten
ascii/44,Komma
ascii/96,Accent grave
ascii/60,Kleiner-dan-teken
ascii/62,Groter-dan-teken
ascii/97,A
ascii/98,B
ascii/99,C
ascii/100,D
ascii/101,E
ascii/102,F
ascii/103,G
ascii/104,H
ascii/105,I
ascii/106,J
ascii/107,K
ascii/108,L
ascii/109,M
ascii/110,N
ascii/111,O
ascii/112,P
ascii/113,Q
ascii/114,R
ascii/115,S
ascii/116,T
ascii/117,U
ascii/118,V
ascii/119,W
ascii/120,X
ascii/121,Y
ascii/122,Z
phonetic-ascii/32,Spatie
phonetic-ascii/46,Punt
phonetic-ascii/97,Alpha
phonetic-ascii/98,Bravo
phonetic-ascii/99,Charlie
phonetic-ascii/100,Delta
phonetic-ascii/101,Echo
phonetic-ascii/102,Foxtrot
phonetic-ascii/103,Golf
phonetic-ascii/104,Hotel
phonetic-ascii/105,India
phonetic-ascii/106,Juliet
phonetic-ascii/107,Kilo
phonetic-ascii/108,Lima
phonetic-ascii/109,Mike
phonetic-ascii/110,November
phonetic-ascii/111,Oscar
phonetic-ascii/112,Papa
phonetic-ascii/113,Quebec
phonetic-ascii/114,Romeo
phonetic-ascii/115,Sierra
phonetic-ascii/116,Tango
phonetic-ascii/117,Unifor
phonetic-ascii/118,Victor
phonetic-ascii/119,Whiskey
phonetic-ascii/120,Xray
phonetic-ascii/121,Yankee
phonetic-ascii/122,Zulu
phonetic-ascii/42,Ster
phonetic-ascii/35,Hekje
digits/0,Nul
digits/1,Een
digits/2,Twee
digits/3,Drie
digits/4,Vier
digits/5,Vijf
digits/6,Zes
digits/7,Zeven
digits/8,Acht
digits/9,Negen
digits/10,Tien
digits/11,Elf
digits/12,Twaalf
digits/13,Dertien
