Path/Name,Phrase
ascii/32,Espaço
ascii/35,Sustenido
ascii/42,Asterisco
ascii/46,Ponto
ascii/45,Hífen
ascii/33,Ponto de exclamação
ascii/64,Arroba
ascii/36,Cifrão
ascii/37,Porcentagem
ascii/38,E comercial
ascii/34,Aspas duplas
ascii/39,Apóstrofo
ascii/47,Barra
ascii/95,Sublinhado
ascii/92,Barra invertida
ascii/126,Til
ascii/61,Sinal de igual
ascii/58,Dois pontos
ascii/59,Ponto e vírgula
ascii/94,Acento circunflexo
ascii/124,Barra vertical
ascii/43,Mais
ascii/40,Parêntese esquerdo
ascii/41,Parêntese direito
ascii/123,Chave esquerda
ascii/125,Chave direita
ascii/91,Colchete esquerdo
ascii/93,Colchete direito
ascii/44,Vírgula
ascii/96,Acento grave
ascii/60,Menor que
ascii/62,Maior que
ascii/97,A
ascii/98,B
ascii/99,C
ascii/100,D
ascii/101,E
ascii/102,F
ascii/103,G
ascii/104,H
ascii/105,I
ascii/106,J
ascii/107,K
ascii/108,L
ascii/109,M
ascii/110,N
ascii/111,O
ascii/112,P
ascii/113,Q
ascii/114,R
ascii/115,S
ascii/116,T
ascii/117,U
ascii/118,V
ascii/119,W
ascii/120,X
ascii/121,Y
ascii/122,Z
phonetic-ascii/32,Espaço
phonetic-ascii/46,Ponto
phonetic-ascii/97,Alpha
phonetic-ascii/98,Bravo
phonetic-ascii/99,Charlie
phonetic-ascii/100,Delta
phonetic-ascii/101,Echo
phonetic-ascii/102,Foxtrot
phonetic-ascii/103,Golf
phonetic-ascii/104,Hotel
phonetic-ascii/105,India
phonetic-ascii/106,Juliet
phonetic-ascii/107,Kilo
phonetic-ascii/108,Lima
phonetic-ascii/109,Mike
phonetic-ascii/110,November
phonetic-ascii/111,Oscar
phonetic-ascii/112,Papa
phonetic-ascii/113,Quebec
phonetic-ascii/114,Romeo
phonetic-ascii/115,Sierra
phonetic-ascii/116,Tango
phonetic-ascii/117,Unifor
phonetic-ascii/118,Victor
phonetic-ascii/119,Whiskey
phonetic-ascii/120,Xray
phonetic-ascii/121,Yankee
phonetic-ascii/122,Zulu
phonetic-ascii/42,Asterisco
phonetic-ascii/35,Sustenido
digits/0,Zero
digits/1,Um
digits/2,Dois
digits/3,Três
digits/4,Quatro
digits/5,Cinco
digits/6,Seis
digits/7,Sete
digits/8,Oito
digits/9,Nove
digits/10,Dez
digits/11,Onze
digits/12,Doze
digits/13,Treze
digits/14,Catorze
digits/15,Quinze
digits/16,Dezesseis
digits/17,Dezessete
digits/18,Dezoito
digits/19,Dezenove
digits/20,Vinte
digits/30,Trinta
digits/40,Quarenta
digits/50,Cinquenta
digits/60,Sessenta
digits/70,Setenta
digits/80,Oitenta
digits/90,Noventa
digits/dot,Ponto
digits/h-1,Primeiro
digits/h-2,Segundo
digits/h-3,Terceiro
digits/h-4,Quarto
digits/h-5,Quinto
digits/h-6,Sexto
digits/h-7,Sétimo
digits/h-8,Oitavo
digits/h-9,Nono
digits/h-10,Décimo
digits/h-11,Décimo primeiro
digits/h-12,Décimo segundo
digits/h-13,décimo terceiro
digits/h-14,décimo quarto
digits/h-15,décimo quinto
digits/h-16,décimo sexto
digits/h-17,décimo sétimo
digits/h-18,décimo oitavo
digits/h-19,décimo nono
digits/h-20,Vigésimo
digits/h-30,Trigésimo
digits/hundred,Cento
digits/thousand,Mil
digits/million,Milhão
digits/period,Período
digits/point,Ponto
digits/pound,Sustenido
digits/star,Asterisco
currency/and,E
currency/cent,Centavo
currency/central,Central
currency/cents-per-minute,Centavos por minuto
currency/cents,Centavos
currency/dollar,Dólar
currency/dollars,Dólares
currency/minus,Menos
currency/negative,Negativo
time/a-m,A.M.
time/at,a
time/day-0,Domingo
time/day-1,Segunda-feira
time/day-2,Terça-feira
time/day-3,Quarta-feira
time/day-4,Quinta-feira
time/day-5,Sexta-feira
time/day-6,Sábado
time/hour,Hora
time/hours,Horas
time/minute,Minuto
time/minutes,Minutos
time/second,Segundo
time/seconds,Segundos
time/mon-0,Janeiro
time/mon-1,Fevereiro
time/mon-2,Março
time/mon-3,Abril
time/mon-4,Maio
time/mon-5,Junho
time/mon-6,Julho
time/mon-7,Agosto
time/mon-8,Setembro
time/mon-9,Outubro
time/mon-10,Novembro
time/mon-11,Dezembro
time/oclock,Em ponto
time/oh,oh
time/p-m,P.M.
time/today,Hoje
time/tomorrow,Amanhã
time/yesterday,Ontem
voicemail/vm-person,A pessoa na extensão...
voicemail/vm-marked-urgent,marcada como urgente
voicemail/vm-marked_new,Marcada como nova
voicemail/vm-emailed,email enviado
voicemail/vm-you_have,Você tem...
voicemail/vm-from,De
voicemail/vm-enter_id,"Por favor digite o seu número de usuario, e depois..."
voicemail/vm-enter_pass,"Por favor digite a sua contrasenha, e depois..."
voicemail/vm-fail_auth,Inicio incorreto da sessão.
voicemail/vm-hello,Bem-vindo ao seu correio de voz.
voicemail/vm-goodbye,Até logo.
voicemail/vm-record_name1,"Grave a sua mensagem depois de ouvir o sinal, diga o seu nome e pressione qualquer tecla ou pare de falar para finalizar a gravação."
voicemail/vm-choose_greeting_choose,Escolha uma saudação entre as opções 1 e 9
voicemail/vm-choose_greeting_fail,Valor inválido.
voicemail/vm-abort,Muitas tentativas fracassadas.
voicemail/vm-change_password,Para mudar a sua senha...
voicemail/vm-record_greeting,Para gravar a sua saudação...
voicemail/vm-record_message,"Após o sinal grave a sua mensagem, digite qualquer tecla ou deixe de falar para finalizar a gravação."
voicemail/vm-play_greeting,Não está disponível.
voicemail/vm-urgent-new,nova e urgente
voicemail/vm-new,nova
voicemail/vm-urgent-saved,guardada e urgente
voicemail/vm-saved,guardada
voicemail/vm-message,mensagem
voicemail/vm-message_alt,mensagem
voicemail/vm-messages,mensagens
voicemail/vm-messages_alt,mensagens
voicemail/vm-no_more_messages,Não há mais mensagens.
voicemail/vm-repeat_message,Para repetir esta mensagem...
voicemail/vm-delete_message,Para apagar esta mensagem...
voicemail/vm-save_message,Para guardar esta mensagem...
voicemail/vm-play_next_message,Para ouvir a mensagem seguinte...
voicemail/vm-play_previous_message,Para ouvir a mensagem anterior...
voicemail/vm-undelete_message,Para recuperar esta mensagem...
