Path/Name,Phrase
ascii/32,Пробел
ascii/35,Решётка
ascii/42,Звездочка
ascii/46,Точка
ascii/45,Дефис
ascii/33,Восклицательный знак
ascii/64,Собака
ascii/36,Доллар
ascii/37,Процент
ascii/38,Амперсанд
ascii/34,Двойные кавычки
ascii/39,Апостроф
ascii/47,Косая черта
ascii/95,Нижнее подчёркивание
ascii/92,Обратная косая черта
ascii/126,Тильда
ascii/61,Знак равно
ascii/58,Двоеточие
ascii/59,Точка с запятой
ascii/94,Циркумфлекс
ascii/124,Вертикальная черта
ascii/43,Плюс
ascii/40,Левая скобка
ascii/41,Правая скобка
ascii/123,Левая фигурная скобка
ascii/125,Правая фигурная скобка
ascii/91,Левая квадратная скобка
ascii/93,Правая квадратная скобка
ascii/44,Запятая
ascii/96,Гравис
ascii/60,Знак меньше
ascii/62,Знак больше
ascii/97,A
ascii/98,B
ascii/99,C
ascii/100,D
ascii/101,E
ascii/102,F
ascii/103,G
ascii/104,H
ascii/105,I
ascii/106,J
ascii/107,K
ascii/108,L
ascii/109,M
ascii/110,N
ascii/111,O
ascii/112,P
ascii/113,Q
ascii/114,R
ascii/115,S
ascii/116,T
ascii/117,U
ascii/118,V
ascii/119,W
ascii/120,X
ascii/121,Y
ascii/122,Z
phonetic-ascii/32,Пробел
phonetic-ascii/46,Точка
phonetic-ascii/97,Alpha
phonetic-ascii/98,Bravo
phonetic-ascii/99,Charlie
phonetic-ascii/100,Delta
phonetic-ascii/101,Echo
phonetic-ascii/102,Foxtrot
phonetic-ascii/103,Golf
phonetic-ascii/104,Hotel
phonetic-ascii/105,India
phonetic-ascii/106,Juliet
phonetic-ascii/107,Kilo
phonetic-ascii/108,Lima
phonetic-ascii/109,Mike
phonetic-ascii/110,November
phonetic-ascii/111,Oscar
phonetic-ascii/112,Papa
phonetic-ascii/113,Quebec
phonetic-ascii/114,Romeo
phonetic-ascii/115,Sierra
phonetic-ascii/116,Tango
phonetic-ascii/117,Unifor
phonetic-ascii/118,Victor
phonetic-ascii/119,Whiskey
phonetic-ascii/120,Xray
phonetic-ascii/121,Yankee
phonetic-ascii/122,Zulu
phonetic-ascii/42,Звезда
phonetic-ascii/35,Решётка
digits/0,ноль
digits/1,Один
digits/2,Два
digits/3,Три
digits/4,Четыре
digits/5,Пять
digits/6,Шесть
digits/7,Семь
digits/8,Восемь
digits/9,Девять
digits/10,Десять
digits/11,Одинадцать
digits/12,Двенадцать
digits/13,Тринадцать
digits/14,Четырнадцать
digits/15,Пятнадцать
digits/16,Шестнадцать
digits/17,Семнадцать
digits/18,Восемнадцать
digits/19,Девятнадцать
digits/20,Двадцать
digits/30,Тридцать
digits/40,Сорок
digits/50,Пятьдесят
digits/60,Шестьдесят
digits/70,Семьдесят
digits/80,Восемьдесят
digits/90,Девяносто
digits/dot,Точка
digits/h-1,Первый
digits/h-2,Второй
digits/h-3,Третий
digits/h-4,Четвёртый
digits/h-5,Пятый
digits/h-6,Шестой
digits/h-7,Седьмой
digits/h-8,Восьмой
digits/h-9,Девятый
digits/h-10,Десятый
digits/h-11,Одиннадцатый
digits/h-12,Двенадцатый
digits/h-13,тринадцатый
digits/h-14,четырнадцатый
digits/h-15,пятнадцатый
digits/h-16,шестнадцатый
digits/h-17,семнадцатый
digits/h-18,восемнадцатый
digits/h-19,девятнадцатый
digits/h-20,двадцатый
digits/h-30,тридцатый
digits/hundred,Сто
digits/thousand,Тысяча
digits/million,Миллион
digits/period,Точка
digits/point,Точка
digits/pound,Решётка
digits/star,Звёздочка
currency/and,и
currency/cent,Цент
currency/central,центральный
currency/cents-per-minute,Центов в минуту
currency/cents,Центы
currency/dollar,Доллар
currency/dollars,Долларов
currency/minus,Минус
currency/negative,Отрицательный
time/a-m,до полудня
time/at,В
time/day-0,Воскресенье
time/day-1,Понедельник
time/day-2,Вторник
time/day-3,Среда
time/day-4,Четверг
time/day-5,Пятница
time/day-6,Суббота
time/hour,час
time/hours,часов
time/minute,минута
time/minutes,минут
time/second,секунда
time/seconds,секунд
time/mon-0,января
time/mon-1,февраля
time/mon-2,марта
time/mon-3,апреля
time/mon-4,мая
time/mon-5,июня
time/mon-6,июля
time/mon-7,августа
time/mon-8,сентября
time/mon-9,октября
time/mon-10,ноября
time/mon-11,декабря
time/oclock,Часов
time/oh,ноль
time/p-m,после полудня
time/today,сегодня
time/tomorrow,завтра
time/yesterday,вчера
voicemail/vm-person,Абонент с номером
voicemail/vm-marked-urgent,Помечено как важное
voicemail/vm-marked_new,Помечено как новое.
voicemail/vm-emailed,отправлен на электронную почту
voicemail/vm-you_have,у Вас
voicemail/vm-from,от
voicemail/vm-enter_id,"Пожалуйста, введите свой идентификатор, завершив нажатием на клавишу"
voicemail/vm-enter_pass,"Пожалуйста, введите свой пароль , завершив нажатием на клавишу"
voicemail/vm-fail_auth,Неправильный номер
voicemail/vm-hello,Добро пожаловать в Вашу голосовую почту
voicemail/vm-goodbye,До свидания
voicemail/vm-record_name1,"После сигнала, пожалуйста, сообщите свое имя, для окончания записи нажмите любую клавишу или перестаньте говорить."
voicemail/vm-choose_greeting_choose,Выберите приветствие от единицы до девяти
voicemail/vm-choose_greeting_fail,Неправильное значение
voicemail/vm-abort,Слишком много неудачных попыток
voicemail/vm-change_password,Для изменения Вашего пароля
voicemail/vm-record_greeting,для записи приветствия
voicemail/vm-record_message,"После сигнала, запишите свое сообщение, для окончания записи нажмите любую клавишу или перестаньте говорить"
voicemail/vm-play_greeting,не доступно
voicemail/vm-urgent-new,новое срочное
voicemail/vm-new,новое
voicemail/vm-urgent-saved,срочное сообщение сохранено
voicemail/vm-saved,сохранено
voicemail/vm-message,сообщение
voicemail/vm-message_alt,сообщение
voicemail/vm-messages,сообщения
voicemail/vm-messages_alt,сообщения
voicemail/vm-no_more_messages,Больше сообщений нет.
voicemail/vm-repeat_message,Чтобы повторить это сообщение...
voicemail/vm-delete_message,Чтобы удалить это сообщение...
voicemail/vm-save_message,Чтобы сохранить это сообщение...
voicemail/vm-play_next_message,Чтобы прослушать следующее сообщение...
voicemail/vm-play_previous_message,Чтобы прослушать предыдущее сообщение...
voicemail/vm-undelete_message,Чтобы восстановить это сообщение...
voicemail/vm-send_message_now,для того что бы послать собощение
voicemail/vm-message_envelope,Чтобы услышать детали сообщения...
voicemail/vm-has_been_changed_to,...был изменён на...
voicemail/vm-press,нажмите
voicemail/vm-received,получено
voicemail/vm-followed_by,...затем...
voicemail/vm-that_was_an_invalid_ext,Неправильный добавочный номер
voicemail/vm-undeleted,Восстановлено.
voicemail/vm-followed_by_pound,...затем нажмите решётку.
voicemail/vm-next,следующее
voicemail/vm-listen_new,чтобы прослушать новые сообщения
voicemail/vm-listen_saved,для прослушивания сохраненных сообщений
voicemail/vm-advanced,для дополнительных параметров
voicemail/vm-advanced_alt,для расширенных опций
voicemail/vm-to_exit,для выхода
voicemail/vm-to_exit_alt,для выхода
voicemail/vm-to_record_greeting,"После сигнала, запишите свое приветствие, для окончания записи нажмите любую клавишу или перестаньте говорить"
voicemail/vm-choose_greeting,для выбора приветствия
voicemail/vm-record_name2,для записи Вашего имени
voicemail/vm-main_menu,для перехода в главное меню
voicemail/vm-listen_to_recording,прослушать запись
voicemail/vm-save_recording,сохранить запись
voicemail/vm-rerecord,записать
voicemail/vm-mark-urgent,пометить это сообщение как срочное
voicemail/vm-mark_message_new,Чтобы пометить это сообщение как новое...
voicemail/vm-continue,для продолжения
voicemail/vm-listen_to_recording_again,прослушать запись снова
voicemail/vm-delete_recording,удалить запись
voicemail/vm-forward_to_email,переслать запись на электронную почту
voicemail/vm-to_forward,переслать это сообщение
voicemail/vm-forward_enter_ext,"пожалуйста, введите добавочный номер для отправки сообщения"
voicemail/vm-forward_add_intro,добавить вступление к сообщению
voicemail/vm-greeting,приветствие
voicemail/vm-selected,выбрано
voicemail/vm-not_available,не доступен
voicemail/vm-message_number,сообщение номер
voicemail/vm-deleted,удалено
voicemail/vm-too-small,"Ваша запись короче минимально допустимой длинны, пожалуйста попробуйте снова"
voicemail/vm-in_folder,в папке Входящие
voicemail/vm-return_call,для возврата вызова
voicemail/vm-urgent,Срочное
voicemail/vm-mailbox_full,Почтовый ящик переполнен. Пожалуйста перезвоните позже
voicemail/vm-tutorial_yes_no,"Добро пожаловать в Вашу новую голосовую почту. Для того, что бы прослушать инструкцию и настроить вашу голосовую почту, нажмите 1. Чтобы пропустить этот шаг, нажмите 2"
voicemail/vm-tutorial_record_name,"Необходимо записать Ваше имя и фамилию. Эта запись используется системой, включая справочник организации"
voicemail/vm-tutorial_change_pin,"Ваш персональный номер, он же пин, используется для предотвращения доступа другими к вашим голосовым сообщениям. Хотите сменить его сейчас?"
voicemail/vm-not_available_no_voicemail,Вызываемый абонент сейчас недоступен и не имеет голосовой почты
voicemail/vm-pin_below_minimum_length,Введённый PIN-код меньше минимальной длины.
voicemail/vm-minimum_pin_length_is,Минимальная длина PIN-кода составляет...
voicemail/vm-password_has_been_changed,Ваш пароль был изменён.
voicemail/vm-enter_new_pin,"Пожалуйста, введите новый пароль, затем нажмите решётку."
voicemail/vm-password_not_valid,Введённый пароль недействителен в этой системе.
voicemail/vm-password_is_not_secure,Пароль типа '1111' или '1234' небезопасен.
voicemail/vm-choose_password,"Пожалуйста, выберите пароль без повторяющихся или последовательных цифр."
voicemail/vm-voicemail_password_is_web_password,"Помните, что пароль голосовой почты также является паролем для веб-интерфейса."
voicemail/vm-message_from,Сообщение от...
voicemail/vm-nobody_leaving_message,В данный момент никто не оставляет сообщение в этом почтовом ящике.
voicemail/vm-last,последнее
voicemail/vm-delete_greeting,Чтобы удалить приветствие
voicemail/vm-listen_to_greeting,Чтобы прослушать приветствие...
voicemail/vm-main_menu_alt,Для главного меню...
voicemail/vm-message_forwarded,Сообщение переадресовано
voicemail/vm-no_answer_no_vm,Вызываемый добавочный номер не отвечает и не имеет настроенной голосовой почты.
directory/dir-enter_person,"Пожалуйста, введите первые буквы имени абонента"
directory/dir-last_name,Фамилии
directory/dir-to_search_by,Искать по ...
directory/dir-first_name,Имени
directory/dir-no_matching_results,нет результатов по запросу.
directory/dir-result_match,результаты Вашего запроса
directory/dir-too_many_result,"По Вашему запросу найдено слишком много вариантов, пожалуйста, попробуйте уточнить запрос"
directory/dir-no_more_results,нет больше вариантов
directory/dir-result_number,Номер варианта
directory/dir-at_extension,добавочный номер
directory/dir-to_select_entry,Для выбора этой записи
directory/dir-for_next,Для выбора следующей записи
directory/dir-for_prev,Для выбора предыдущей записи
directory/dir-start_new_search,Для начала нового поиска
directory/dir-specify_mininum,Вам необходимо указать минимум ...
directory/dir-letters_of_person_name,букв имени абонента
directory/dir-please_try_again,Попробуйте снова
directory/dir-press,нажмите
directory/dir-for_next,Для выбора следующей записи
directory/dir-enter_person_first_or_last,"Пожалуйста, введите первые буквы имени или фамилии абонента"
directory/dir-enter-person,"Пожалуйста, введите первые буквы имени"
directory/dir-no_match_entry,По Вашему запросу ничего не найдено
directory/dir-no_more_result,Больше результатов нет
directory/dir-specify_mininum_first,Необходимо указать минимум...
directory/dir-to_make_new_search,Чтобы начать новый поиск
directory/dir-to_many_result,По вашему запросу найдено слишком много результатов.
conference/conf-ack,NULL
conference/conf-nack,NULL
conference/conf-muted,Ваш микрофон отключен
conference/conf-unmuted,Ваш микрофон включён
conference/conf-alone,Вы единственный участник конференции
conference/conf-perpetual,NULL
conference/conf-enter,NULL
conference/conf-exit,NULL
conference/conf-kicked,Вы были отключены от конференции
conference/conf-locked,Эта конференция заблокирована
conference/conf-is-locked,Конференция заблокирована
conference/conf-is-unlocked,Конференция разблокирована
conference/conf-pin,"Пожалуйста, введите пин-код конференции"
conference/conf-bad-pin,"Неправильный пин-код, попробуйте снова"
conference/conf-goodbye,До свидания
conference/conf-welcome,Добро пожаловать в конференцию
conference/conf-enter_conf_number,"Пожалуйста, введите номер конференции, завершив нажатием на клавишу решетка"
conference/conf-enter_conf_pin,"Введите ПИН код конференции, завершив нажатием  на клавишу решётка."
conference/conf-has_joined,...Вошёл в конференцию.
conference/conf-has_left,...Покинул конференцию.
conference/conf-you_are_already_muted,Ваш микрофон уже выключен.
conference/conf-you_are_now_bidirectionally_muted,Звук и микрофон сейчас выключены.
conference/conf-number_of_listeners,"Введите количество слушателей, затем нажмите решётку."
conference/conf-listeners_in_conference,...слушателей в этой конференции.
conference/conf-listener_in_conference,...слушатель в этой конференции.
conference/conf-members_in_conference,...участников в этой конференции.
conference/conf-conference_is_in_qna_mode,Эта конференция в режиме вопросов и ответов.
conference/conf-qna_mode,Режим вопросов и ответов
conference/conf-entry_sound,Звук входа
conference/conf-exit_sound,Звук выхода
conference/conf-conference_is_full,"Эта конференция заполнена. Пожалуйста, свяжитесь с модератором."
conference/conf-conference_will_start_shortly,"Ваша конференция скоро начнётся. Пожалуйста, оставайтесь на линии."
conference/conf-other_persons_conference,других участников в конференции.
conference/conf-one_other_person_conference,ещё один участник в конференции.
conference/conf-one_other_member_conference,ещё один член в конференции.
conference/conf-being_recorded,Эта конференция записывается.
conference/conf-no_longer_being_recorded,Эта конференция больше не записывается.
